"Key","Issue Type","Epic","Summary","Description","Phase","Priority","Status","Owner","Estimate","Dependencies","Acceptance Criteria","Source","Built By","Builder Remarks","Agent S Comments","Rollback Notes","Milestone"
"TSP-001","Epic","Platform Setup","Initialize production-ready web app foundation","Set up the base Next.js TypeScript application with repo conventions and shared tooling.","Phase 0","Critical","Done","agent_CT","TBD","","Repository builds locally and CI can run typecheck lint and tests.","FINAL_TRD Section 4 and 24","agent_CT","Manual production scaffold created to match FINAL_TRD repo/module boundaries instead of relying on a generator that may drift from our architecture.","Phase 0 foundation delivered cleanly. lib/exam/ lib/supabase/ lib/db/ module directories are pre-created and match TRD Section 4 boundaries. All Done subtasks confirm the epic is complete. Next critical unblocking work is TSP-022 (Question Bank) which nothing in Phase 1 can start without.","","Done"
"TSP-002","Task","Platform Setup","Create Next.js TypeScript project","Initialize Next.js App Router project with TypeScript strict mode.","Phase 0","Critical","Done","agent_CT","TBD","TSP-001","App starts locally and renders a basic page.","FINAL_TRD Step 0","agent_CT","Next.js App Router with TypeScript strict mode is in place; package manager standardized on pnpm through Corepack.","Clean App Router setup. TypeScript strict mode confirmed in tsconfig. No structural issues observed.","","Done"
"TSP-003","Task","Platform Setup","Configure Tailwind shadcn and Radix","Install styling and UI component foundation.","Phase 0","High","Done","agent_CT","TBD","TSP-002","Shared UI components can be imported and rendered.","FINAL_TRD Section 3","agent_CT","Tailwind and shadcn/Radix-compatible setup added. Initial UI is intentionally utilitarian and app-first, not a marketing shell.","shadcn and Radix installed. Tailwind config in place with design tokens. Component library is ready for the test engine UI and dashboard ahead.","","Done"
"TSP-004","Task","Platform Setup","Add repository folder structure","Create app components lib server stores types tests and supabase folders.","Phase 0","High","Done","agent_CT","TBD","TSP-002","Repo matches documented production structure.","FINAL_TRD Section 4","agent_CT","Repository directories follow FINAL_TRD: app, components, lib modules, tests, supabase, docs, and public. This keeps later slices aligned.","Structure matches TRD Section 4 closely. lib/ai/ lib/mastery/ lib/adaptive/ stubs are absent but not needed yet - those are Phase 1 modules. No concerns.","","Done"
"TSP-005","Task","Platform Setup","Configure pnpm TypeScript ESLint Prettier","Add package scripts and code quality tooling.","Phase 0","High","Done","agent_CT","TBD","TSP-002","pnpm typecheck lint and test scripts exist.","FINAL_TRD Section 3","agent_CT","Configured scripts for typecheck, lint, tests, and build. Typecheck now runs next typegen before tsc so clean CI is not dependent on stale .next files.","ESLint and Prettier configured. pnpm scripts confirmed. Suggest verifying strict null checks pass cleanly in CI before the question bank schema files are added.","","Done"
"TSP-006","Task","Platform Setup","Create environment template","Create .env.example covering Supabase AI email analytics and app secrets.","Phase 0","High","Done","agent_CT","TBD","TSP-002","New developer can configure local environment from .env.example.","FINAL_TRD Step 0","agent_CT","Environment template includes app, Supabase, AI, email, analytics, and observability placeholders. No secrets committed.","env.ts only checks NEXT_PUBLIC_SUPABASE_URL and NEXT_PUBLIC_SUPABASE_ANON_KEY. Confirm .env.example includes SUPABASE_SERVICE_ROLE_KEY placeholder for server-side admin operations and ANTHROPIC_API_KEY and RESEND_API_KEY placeholders for Phase 1 work.","","Done"
"TSP-007","Task","Platform Setup","Configure CI pipeline","Add GitHub Actions for install typecheck lint unit tests and build.","Phase 0","High","Done","agent_CT","TBD","TSP-005","CI passes on a clean branch.","FINAL_TRD Section 23","agent_CT","CI workflow uses Corepack pnpm and runs typecheck, lint, and unit tests. E2E config exists but should be enabled after backend/test data is ready.","CI covers typecheck lint and unit tests as expected. E2E is intentionally absent at this stage. Wire in E2E smoke suite when TSP-132 lands.","","Done"
"TSP-008","Epic","Auth And Profiles","Build authentication profile and consent foundation","Users can register login manage profile study constraints and AI consent.","Phase 0","Critical","In Progress","agent_CT","TBD","TSP-001","Auth and profile flows work with RLS protection.","FINAL_PRD Section 7.1","agent_CT","Epic remains In Progress. Auth shell, profile schema, and RLS are done; live OAuth, editable profile fields, export/delete need Supabase credentials and follow-up rows.","","","M6 Hardening&Launch"
"TSP-009","Task","Auth And Profiles","Configure Supabase Auth","Set up Supabase Auth with email password and session handling.","Phase 0","Critical","Done","agent_CT","TBD","TSP-006","User can sign up log in and log out.","FINAL_TRD Section 8","agent_CT","Supabase auth clients, middleware, and auth pages were added with safe no-config behavior so local build works before real Supabase credentials exist.","Supabase Auth wired correctly. hasSupabaseConfig() guard in actions.ts and middleware is clean for scaffold-without-credentials mode. Server actions use proper use server directive. redirectTo preserved through login flow.","","Done"
"TSP-010","Task","Auth And Profiles","Implement Google OAuth login","Add Google OAuth provider and callback handling.","Phase 0","High","Backlog","Unassigned","TBD","TSP-009","User can authenticate using Google OAuth.","FINAL_PRD UM-02","","","","","M6 Hardening&Launch"
